#MACHO_ID class amplitude hl_amp_ratio kurtosis n_points period period_SNR period_log10FAP period_uncertainty phase_cusum phase_eta phi21 phi31 quartile31 r21 r31 shapiro_w skewness slope_per10 slope_per90 stetson_k weighted_mean weighted_std
           1.3691.19         Cepheid   0.2149   0.7538  -1.4342  1244    2.7755839 227.9180 -247.6302    0.0033020   0.2892   0.1143   0.5799  -0.4004   0.3095   0.0671   0.0229   0.9125  -0.1429  -0.3552   0.4611   0.7777  -8.6791   0.1600
           1.3691.32         Cepheid   0.1773   0.9618  -1.1860  1243    1.9130078 223.1561 -215.1095    0.0015684   0.2099   0.3223   1.3321   0.5059   0.2590   0.1360   0.0275   0.9497  -0.0860  -0.2100   0.1999   0.7123  -8.3119   0.1397
           1.3691.37         Cepheid   0.2311   0.4773  -1.2167  1241    3.0731916 227.0389 -214.7500    0.0040482   0.2605   0.0863  -2.1289  -1.0557   0.3320   0.3632   0.1678   0.9042  -0.4372  -0.4762   0.5174   0.7187  -8.3083   0.1876
           1.3692.16         Cepheid   0.3950   0.6061  -0.9192  1244   12.6448039 227.3421 -224.6907    0.0684051   0.2299   0.2138   1.3562   1.2545   0.5113   0.1668   0.1035   0.9554  -0.3300  -0.8907   0.7890   0.6897  -9.6768   0.3078
           1.3692.17         Cepheid   0.3119   1.0926  -0.9973  1241   10.8624246 223.9976 -233.4888    0.0504904   0.3125   0.2024  -1.4884  -3.2751   0.3700   0.0479   0.1163   0.9600  -0.0461  -0.8186   0.7423   0.7621  -9.5376   0.2326
           1.3693.11         Cepheid   0.1706   0.6140  -1.2727  1233    3.4092418 235.8600 -241.6166    0.0049780   0.2610   0.1313  -3.0535  -2.9442   0.2260   0.1048   0.0502   0.9312  -0.2599  -0.5683   0.6049   0.7749  -8.8671   0.1235
           1.3804.26         Cepheid   0.1911   0.7319  -0.6735  1153    3.8916220 161.7171 -116.3579    0.0064922   0.2672   0.5923   4.0796   2.8710   0.2730   0.1101   0.0300   0.9788  -0.2564  -0.1967   0.1773   0.7105  -8.7683   0.1969
           1.3805.47         Cepheid   0.1863   0.5851  -1.0754  1226    2.9932368 216.9474 -207.3079    0.0038375   0.2558   0.2542   4.0711   4.8919   0.2527   0.2712   0.0877   0.9266  -0.4353  -0.3157   0.4623   0.7366  -8.1123   0.1538
           1.3807.24         Cepheid   0.2020   0.9674  -1.3903  1163    2.1934864 227.1806 -222.2511    0.0020610   0.2940   0.1905  -1.6047  -0.9750   0.2940   0.1029   0.0083   0.9287  -0.0058  -0.2438   0.2536   0.8036  -8.3924   0.1480
           1.3808.12         Cepheid   0.2688   1.1854  -1.1784  1093    8.3656196 217.0199 -188.7958    0.0301545   0.3032   0.1963   1.9916   3.4044   0.3690   0.3015   0.1188   0.9483   0.2082  -0.8016   0.7735   0.8061  -8.7318   0.2031
          1.3809.937         Cepheid   0.3768   0.8024  -0.6893  1217   12.1918557 239.2214 -234.1653    0.0637857   0.2481   0.0825  -1.9589   0.0921   0.4100   0.1288   0.1273   0.9602  -0.3583  -1.2537   1.1146   0.6913  -9.4585   0.2827
          1.3809.938         Cepheid   0.1864   0.5524  -0.8313  1157    5.7769048 222.9616 -189.3401    0.0163422   0.2856   0.0350   4.3155   5.3499   0.2390   0.4564   0.1906   0.9268  -0.5444  -1.9169   2.0754   0.6991  -9.4978   0.1522
           1.3810.11         Cepheid   0.4682   0.4988  -0.6145  1204   17.1969333 224.7722 -195.0928    0.1269883   0.2874   0.2290  -1.7903  -1.2255   0.6035   0.2881   0.1761   0.9390  -0.5854  -1.2560   1.2862   0.7089 -10.1381   0.3841
           1.3812.15         Cepheid   0.2863   1.5007  -1.3385  1231    9.7128934 240.8376 -239.5768    0.0403749   0.3420   0.0308  -3.8702  -5.0706   0.3965   0.2105   0.1396   0.9134   0.2767  -2.8636   3.1346   0.8185  -9.4312   0.2056
